No;Kurum;Ders Kategorisi;Ders Açıklaması;Ders Konusu;Tarih;Süre;Klasör Adı;Oynatma Linki
1521;Belirsiz / Bilinmeyen Müşteri;sanatlar;ID ve Kelime Eşleşmesi Bulunamadı;sanatlar;3.01.2024 20:50;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1704304242255;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1704304242255
1522;Belirsiz / Bilinmeyen Müşteri;çocuk edebiyatı son...;ID ve Kelime Eşleşmesi Bulunamadı;çocuk edebiyatı son...;26.06.2024 18:31;Bilinmiyor;43e0c24a708ac8def75adeaf6b9f65e130d4bdd0-1719415876279;https://185.86.155.222/playback/presentation/2.3/43e0c24a708ac8def75adeaf6b9f65e130d4bdd0-1719415876279
1523;Türkçe ÖABTdeyiz;2025 ESKİ TÜRK EDEBİYATI;;aruz ve işlemler;29.01.2025 20:38;43 dk;fe534ba2be486200b29eba3998f61d35ede4b765-1732124326641;https://185.86.155.222/playback/presentation/2.3/fe534ba2be486200b29eba3998f61d35ede4b765-1732124326641
1524;Belirsiz / Bilinmeyen Müşteri;AYT Biyoloji: ;ID ve Kelime Eşleşmesi Bulunamadı;AYT Biyoloji: ;29.04.2024 11:55;Bilinmiyor;be7db5d7f102ac59de518402ed737e1764d71c59-1714380932065;https://185.86.155.222/playback/presentation/2.3/be7db5d7f102ac59de518402ed737e1764d71c59-1714380932065
1525;Belirsiz / Bilinmeyen Müşteri;4 Temel Beceri:;ID ve Kelime Eşleşmesi Bulunamadı;4 Temel Beceri:;26.03.2024 20:02;Bilinmiyor;1eac70a197d619f6707b2eede941d106313d3d89-1711472563125;https://185.86.155.222/playback/presentation/2.3/1eac70a197d619f6707b2eede941d106313d3d89-1711472563125
1526;Belirsiz / Bilinmeyen Müşteri;DİNLEME BECERİSİ GELİŞTİRME ÇALIŞMALARI;ID ve Kelime Eşleşmesi Bulunamadı;DİNLEME BECERİSİ GELİŞTİRME ÇALIŞMALARI;4.11.2023 19:53;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699116807719;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699116807719
1527;Belirsiz / Bilinmeyen Müşteri;anonim halk edeb. türleri;ID ve Kelime Eşleşmesi Bulunamadı;anonim halk edeb. türleri;5.05.2025 18:55;Bilinmiyor;f2cbea88fd85117b36715ad29b52afd6488b00e6-1746460540216;https://185.86.155.222/playback/presentation/2.3/f2cbea88fd85117b36715ad29b52afd6488b00e6-1746460540216
1528;Belirsiz / Bilinmeyen Müşteri;TÜRKİYE'DE ÇOCUK EDEBİYATI TARİHÇESİ -2;ID ve Kelime Eşleşmesi Bulunamadı;TÜRKİYE'DE ÇOCUK EDEBİYATI TARİHÇESİ -2;8.05.2024 21:19;Bilinmiyor;f67b4948b1592313c2fb1206ef8b9f23a7902842-1715192368421;https://185.86.155.222/playback/presentation/2.3/f67b4948b1592313c2fb1206ef8b9f23a7902842-1715192368421
1529;Belirsiz / Bilinmeyen Müşteri;aşıklık gelenekleri;ID ve Kelime Eşleşmesi Bulunamadı;aşıklık gelenekleri;13.01.2024 18:53;Bilinmiyor;d39446f272688d5e772f0ac8214efd6620555449-1705161222983;https://185.86.155.222/playback/presentation/2.3/d39446f272688d5e772f0ac8214efd6620555449-1705161222983
1530;Türkçe ÖABTdeyiz;CİHANGİR DENEMELERİ ÇÖZÜM;;CİHANGİR-10;2.07.2024 20:01;47 dk;96799d44ee03757118ca942f4420977e2fa2f2a2-1719589977823;https://185.86.155.222/playback/presentation/2.3/96799d44ee03757118ca942f4420977e2fa2f2a2-1719589977823
1531;Belirsiz / Bilinmeyen Müşteri;2025 Yenj Türk Edebiyatı Soru Çözümü Temmuz;ID ve Kelime Eşleşmesi Bulunamadı;2025 Yenj Türk Edebiyatı Soru Çözümü Temmuz;3.07.2025 19:20;Bilinmiyor;59e12101a6e49783a976dd90c60e1bfce5caba53-1751559632046;https://185.86.155.222/playback/presentation/2.3/59e12101a6e49783a976dd90c60e1bfce5caba53-1751559632046
1532;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - YENİ TÜRK EDEBİYATI;;SORU ÇÖZÜMÜ- 4;6.05.2025 18:57;47 dk;4b39fd288dc2700c79d58ee85b39fd914c7ff7ef-1747158544776;https://185.86.155.222/playback/presentation/2.3/4b39fd288dc2700c79d58ee85b39fd914c7ff7ef-1747158544776
1533;Belirsiz / Bilinmeyen Müşteri;2025 Eski Türk Dili Soru Çözümü;ID ve Kelime Eşleşmesi Bulunamadı;2025 Eski Türk Dili Soru Çözümü;22.05.2025 19:21;Bilinmiyor;865258169e3f2530d1dc3de467c82ea9d21317d5-1747930914124;https://185.86.155.222/playback/presentation/2.3/865258169e3f2530d1dc3de467c82ea9d21317d5-1747930914124
1534;Türkçe ÖABTdeyiz;YKS Türkçe: ;Arşiv / Eski Dönem Dersi;YKS Türkçe: ;19.02.2025 18:45;Bilinmiyor;a10a93728dcccff6ea236b18e07f7e073974abb6-1739979931010;https://185.86.155.222/playback/presentation/2.3/a10a93728dcccff6ea236b18e07f7e073974abb6-1739979931010
1535;Belirsiz / Bilinmeyen Müşteri;İnkılap Tarihi Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;İnkılap Tarihi Konu: ;26.02.2024 20:32;Bilinmiyor;693b1017e1fa22f353d27bc0e76ea689e622f28b-1708968728873;https://185.86.155.222/playback/presentation/2.3/693b1017e1fa22f353d27bc0e76ea689e622f28b-1708968728873
1536;Türkçe ÖABTdeyiz;.2026 ŞERH UYGULAMALARI;;Şerhh;22.02.2026 21:03;46 dk;4e115b4f2f6895ce8fc92bc882a966a33afede39-1776959858436;https://185.86.155.222/playback/presentation/2.3/4e115b4f2f6895ce8fc92bc882a966a33afede39-1776959858436
1537;Belirsiz / Bilinmeyen Müşteri;ÖĞRETİCİ METİNLER-2;ID ve Kelime Eşleşmesi Bulunamadı;ÖĞRETİCİ METİNLER-2;22.04.2025 19:01;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1745337677180;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1745337677180
1538;Belirsiz / Bilinmeyen Müşteri;Geometri Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Geometri Konu: ;5.11.2023 17:58;Bilinmiyor;c48c2aa59727778286c90776e64296c45d8d3135-1699196328644;https://185.86.155.222/playback/presentation/2.3/c48c2aa59727778286c90776e64296c45d8d3135-1699196328644
1539;Belirsiz / Bilinmeyen Müşteri;CUMHURİYET ROMANI- 5;ID ve Kelime Eşleşmesi Bulunamadı;CUMHURİYET ROMANI- 5;23.04.2024 20:59;Bilinmiyor;dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1713895164036;https://185.86.155.222/playback/presentation/2.3/dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1713895164036
1540;Türkçe ÖABTdeyiz;.2026 DÜNYA EDEBİYATI;;fransız 6;30.11.2025 18:46;45 dk;35055dac95adb3f6c0c8afe1593ea9f87912dc72-1762106002223;https://185.86.155.222/playback/presentation/2.3/35055dac95adb3f6c0c8afe1593ea9f87912dc72-1762106002223
1541;Belirsiz / Bilinmeyen Müşteri;AYT Coğrafya: ;ID ve Kelime Eşleşmesi Bulunamadı;AYT Coğrafya: ;8.05.2024 19:00;Bilinmiyor;e038e075d85407c30daae9bdb2599ae69efc22d8-1715184058575;https://185.86.155.222/playback/presentation/2.3/e038e075d85407c30daae9bdb2599ae69efc22d8-1715184058575
1542;Belirsiz / Bilinmeyen Müşteri;SÜREÇ TEMELLİ YAZMA YÖNTEMİ;ID ve Kelime Eşleşmesi Bulunamadı;SÜREÇ TEMELLİ YAZMA YÖNTEMİ;1.03.2024 18:49;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1709308148679;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1709308148679
1543;Belirsiz / Bilinmeyen Müşteri;şairler yazarlae eserler;ID ve Kelime Eşleşmesi Bulunamadı;şairler yazarlae eserler;6.03.2024 20:54;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1709747651647;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1709747651647
1544;Belirsiz / Bilinmeyen Müşteri;Biyoloji Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Biyoloji Konu: ;18.11.2023 11:18;Bilinmiyor;2a7383ab113c8c967ca8933e0bf5e7cf35dc3a50-1700295500562;https://185.86.155.222/playback/presentation/2.3/2a7383ab113c8c967ca8933e0bf5e7cf35dc3a50-1700295500562
1545;Belirsiz / Bilinmeyen Müşteri;ESKİ EDEBİYAT GENEL TEKRAR 2;ID ve Kelime Eşleşmesi Bulunamadı;ESKİ EDEBİYAT GENEL TEKRAR 2;24.07.2023 19:45;Bilinmiyor;f5521fca55abc0b67e1f0007b7fc6a6e971cec54-1690217135420;https://185.86.155.222/playback/presentation/2.3/f5521fca55abc0b67e1f0007b7fc6a6e971cec54-1690217135420
1546;Belirsiz / Bilinmeyen Müşteri;halk edebiyatı kaynakları;ID ve Kelime Eşleşmesi Bulunamadı;halk edebiyatı kaynakları;7.03.2024 19:52;Bilinmiyor;d39446f272688d5e772f0ac8214efd6620555449-1709830333469;https://185.86.155.222/playback/presentation/2.3/d39446f272688d5e772f0ac8214efd6620555449-1709830333469
1547;Türkçe ÖABTdeyiz;.2026 YENİ TÜRK EDEBİYATI;;CUMHURİYET TİYATROSU-2 VE ÖĞRETİCİ METİNLER-1;8.05.2026 21:22;42 dk;80b76a73d9fdf418aed6e143de1468fe9615c84a-1775323377940;https://185.86.155.222/playback/presentation/2.3/80b76a73d9fdf418aed6e143de1468fe9615c84a-1775323377940
1548;Belirsiz / Bilinmeyen Müşteri;AYT Matematik Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;AYT Matematik Konu: ;23.11.2023 20:35;Bilinmiyor;d87f3606be0928845c50ac193653cd28e5c540a2-1700760932288;https://185.86.155.222/playback/presentation/2.3/d87f3606be0928845c50ac193653cd28e5c540a2-1700760932288
1549;Belirsiz / Bilinmeyen Müşteri;Halk Edebiyatı Soru Çözümü 1;ID ve Kelime Eşleşmesi Bulunamadı;Halk Edebiyatı Soru Çözümü 1;7.04.2024 21:58;Bilinmiyor;2496f5e3863bf6498fe190a2f42a7f3b0738d35e-1712516317070;https://185.86.155.222/playback/presentation/2.3/2496f5e3863bf6498fe190a2f42a7f3b0738d35e-1712516317070
1550;Türkçe ÖABTdeyiz;.2026 YENİ TÜRK EDEBİYATI;;CUMHURİYET TİYATROSU-2 VE ÖĞRETİCİ METİNLER-1;8.05.2026 21:22;42 dk;80b76a73d9fdf418aed6e143de1468fe9615c84a-1770825304807;https://185.86.155.222/playback/presentation/2.3/80b76a73d9fdf418aed6e143de1468fe9615c84a-1770825304807
1551;Belirsiz / Bilinmeyen Müşteri;Biyoloji Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Biyoloji Konu: ;4.11.2023 09:59;Bilinmiyor;d8efae92930437d6dc5e518ce27807ba7cae2ab1-1699081177095;https://185.86.155.222/playback/presentation/2.3/d8efae92930437d6dc5e518ce27807ba7cae2ab1-1699081177095
1552;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - DİL BİLGİSİ;;4- SES BİLGİSİ;9.03.2025 20:11;44 dk;c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1777831750408;https://185.86.155.222/playback/presentation/2.3/c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1777831750408
1553;Türkçe ÖABTdeyiz;.2026 DÜNYA EDEBİYATI;;fransız 6;30.11.2025 18:46;45 dk;35055dac95adb3f6c0c8afe1593ea9f87912dc72-1765734766426;https://185.86.155.222/playback/presentation/2.3/35055dac95adb3f6c0c8afe1593ea9f87912dc72-1765734766426
1554;Belirsiz / Bilinmeyen Müşteri;YAZMA MODELLERİ;ID ve Kelime Eşleşmesi Bulunamadı;YAZMA MODELLERİ;25.02.2024 20:46;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1708883189868;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1708883189868
1555;Türkçe ÖABTdeyiz;.2026 DİL BİLGİSİ;;ŞEKİL/YAPI/BİÇİM BİLGİSİ ( Yapısı Bakımından Sözcükler)-1;18.11.2025 18:59;41 dk;dc12c9d877c70209ea7d0274e884c99ee397001f-1765900803434;https://185.86.155.222/playback/presentation/2.3/dc12c9d877c70209ea7d0274e884c99ee397001f-1765900803434
1556;Belirsiz / Bilinmeyen Müşteri;2025 Coğrafya son ders;ID ve Kelime Eşleşmesi Bulunamadı;2025 Coğrafya son ders;9.05.2025 20:31;Bilinmiyor;13347ce833076d005e33f447a1c0967f7655f614-1746811881956;https://185.86.155.222/playback/presentation/2.3/13347ce833076d005e33f447a1c0967f7655f614-1746811881956
1557;Belirsiz / Bilinmeyen Müşteri;DÖRT TEMEL BECERİ - 7;ID ve Kelime Eşleşmesi Bulunamadı;DÖRT TEMEL BECERİ - 7;28.07.2024 17:18;Bilinmiyor;569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722176292041;https://185.86.155.222/playback/presentation/2.3/569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722176292041
1558;Belirsiz / Bilinmeyen Müşteri;GYGK Matematik: ;ID ve Kelime Eşleşmesi Bulunamadı;GYGK Matematik: ;5.02.2024 18:59;Bilinmiyor;37b6d8ba5f7c78ec653a239970562ed733fb6db4-1707148771227;https://185.86.155.222/playback/presentation/2.3/37b6d8ba5f7c78ec653a239970562ed733fb6db4-1707148771227
1559;Belirsiz / Bilinmeyen Müşteri;Tarih Konu: (DÜNYA GÜCÜ OSMANLI - YÜKSELME DÖNEMİ);ID ve Kelime Eşleşmesi Bulunamadı;Tarih Konu: (DÜNYA GÜCÜ OSMANLI - YÜKSELME DÖNEMİ);5.12.2023 18:46;Bilinmiyor;701ae45c607a83021c7e41d3c433a69fc19956a8-1701791165794;https://185.86.155.222/playback/presentation/2.3/701ae45c607a83021c7e41d3c433a69fc19956a8-1701791165794
1560;Türkçe ÖABTdeyiz;..2026 GENEL TEKRAR;;Eski Türk Edebiyatı-2;22.06.2026 19:53;45 dk;8797722914e101baa4578694025ea8348a748303-1782582143015;https://185.86.155.222/playback/presentation/2.3/8797722914e101baa4578694025ea8348a748303-1782582143015
1561;Belirsiz / Bilinmeyen Müşteri;2025 Eski Türk edebiyatı 2;ID ve Kelime Eşleşmesi Bulunamadı;2025 Eski Türk edebiyatı 2;17.05.2025 19:15;Bilinmiyor;2d0b34d5d2987a5f28be9c8d16ad29eae5949b76-1747498528813;https://185.86.155.222/playback/presentation/2.3/2d0b34d5d2987a5f28be9c8d16ad29eae5949b76-1747498528813
1562;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - DİL BİLGİSİ;;4- SES BİLGİSİ;9.03.2025 20:11;44 dk;c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1777827343225;https://185.86.155.222/playback/presentation/2.3/c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1777827343225
1563;Belirsiz / Bilinmeyen Müşteri;DİNLEME STRATEJİLERİ - 2;ID ve Kelime Eşleşmesi Bulunamadı;DİNLEME STRATEJİLERİ - 2;4.11.2023 18:43;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699112592658;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699112592658
1564;Türkçe ÖABTdeyiz;.2026 ESKİ TÜRK EDEBİYATI;;Aruz Bilgisi-2;4.12.2025 19:44;43 dk;d5a49c3ab0991a06073f0f2931a2fc49ad269629-1773341034695;https://185.86.155.222/playback/presentation/2.3/d5a49c3ab0991a06073f0f2931a2fc49ad269629-1773341034695
1565;Belirsiz / Bilinmeyen Müşteri;mazmunlar;ID ve Kelime Eşleşmesi Bulunamadı;mazmunlar;21.02.2024 18:55;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1708530909621;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1708530909621
1566;Belirsiz / Bilinmeyen Müşteri;2025 Osmanlı Tarihi 1;ID ve Kelime Eşleşmesi Bulunamadı;2025 Osmanlı Tarihi 1;24.04.2025 20:35;Bilinmiyor;9b02c99906f23e0d8e462feba77af1f1f7420d4c-1745516123964;https://185.86.155.222/playback/presentation/2.3/9b02c99906f23e0d8e462feba77af1f1f7420d4c-1745516123964
1567;Belirsiz / Bilinmeyen Müşteri;Halk Edebiyatı Konu: HALK EDEBİYATINA GİRİŞ;ID ve Kelime Eşleşmesi Bulunamadı;Halk Edebiyatı Konu: HALK EDEBİYATINA GİRİŞ;10.11.2023 18:57;Bilinmiyor;1982ccc375cd3252877e44a8ac8b67015901736c-1699631823403;https://185.86.155.222/playback/presentation/2.3/1982ccc375cd3252877e44a8ac8b67015901736c-1699631823403
1568;Belirsiz / Bilinmeyen Müşteri;DİL BİLİM GİRİŞ;ID ve Kelime Eşleşmesi Bulunamadı;DİL BİLİM GİRİŞ;3.11.2023 18:28;Bilinmiyor;2a3118bee8adb487c610585b9ef9cfb19b60625b-1699025288086;https://185.86.155.222/playback/presentation/2.3/2a3118bee8adb487c610585b9ef9cfb19b60625b-1699025288086
1569;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - DÖRT TEMEL BECERİ;;KONUŞMA EĞİTİMİ - 4;2.06.2025 19:43;37 dk;fd5c21dfcef4665bb7e8b67c9d7f92cb619f22e0-1749922673464;https://185.86.155.222/playback/presentation/2.3/fd5c21dfcef4665bb7e8b67c9d7f92cb619f22e0-1749922673464
1570;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - ÇOCUK EDEBİYATI;;SORU ÇÖZÜM-4;11.05.2025 19:55;46 dk;7fd2f948a1f6cecb3e54a9c3e53f5c712948fe53-1747590630007;https://185.86.155.222/playback/presentation/2.3/7fd2f948a1f6cecb3e54a9c3e53f5c712948fe53-1747590630007
1571;Belirsiz / Bilinmeyen Müşteri;Anayasa: ;ID ve Kelime Eşleşmesi Bulunamadı;Anayasa: ;7.01.2025 19:00;Bilinmiyor;31660dea3e5cee03581b6599639f0b2f9e963663-1736265630677;https://185.86.155.222/playback/presentation/2.3/31660dea3e5cee03581b6599639f0b2f9e963663-1736265630677
1572;Türkçe ÖABTdeyiz;.2026 ESKİ TÜRK EDEBİYATI;;Aruz Bilgisi-2;4.12.2025 19:44;43 dk;d5a49c3ab0991a06073f0f2931a2fc49ad269629-1774540535376;https://185.86.155.222/playback/presentation/2.3/d5a49c3ab0991a06073f0f2931a2fc49ad269629-1774540535376
1573;Belirsiz / Bilinmeyen Müşteri;İnkılap Tarihi: ;ID ve Kelime Eşleşmesi Bulunamadı;İnkılap Tarihi: ;3.04.2025 20:39;Bilinmiyor;d559f2f4c2da62ae3312e80091ee14e4067274d3-1743701990348;https://185.86.155.222/playback/presentation/2.3/d559f2f4c2da62ae3312e80091ee14e4067274d3-1743701990348
1574;Belirsiz / Bilinmeyen Müşteri;2024 Haziran GYGK Osmanlı Tarihi 2;ID ve Kelime Eşleşmesi Bulunamadı;2024 Haziran GYGK Osmanlı Tarihi 2;2.07.2024 14:59;Bilinmiyor;f19c49f62266528f8c7b8c2f077c4976355b20ed-1719921588596;https://185.86.155.222/playback/presentation/2.3/f19c49f62266528f8c7b8c2f077c4976355b20ed-1719921588596
1575;Belirsiz / Bilinmeyen Müşteri;MİLLİ EDEBİYAT-3;ID ve Kelime Eşleşmesi Bulunamadı;MİLLİ EDEBİYAT-3;23.01.2024 20:48;Bilinmiyor;dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1706032080064;https://185.86.155.222/playback/presentation/2.3/dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1706032080064
1576;Belirsiz / Bilinmeyen Müşteri;TYT Coğrafya Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;TYT Coğrafya Konu: ;15.10.2023 15:23;Bilinmiyor;ff1b50537ae41937aa1162f4bbd8b556acb13759-1697372594811;https://185.86.155.222/playback/presentation/2.3/ff1b50537ae41937aa1162f4bbd8b556acb13759-1697372594811
1577;Belirsiz / Bilinmeyen Müşteri;AYT Fizik Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;AYT Fizik Konu: ;3.03.2024 09:51;Bilinmiyor;9e8a80048b6a033118bf5e966d56256a0ef559bf-1709448681149;https://185.86.155.222/playback/presentation/2.3/9e8a80048b6a033118bf5e966d56256a0ef559bf-1709448681149
1578;Belirsiz / Bilinmeyen Müşteri;TYT Tarih Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;TYT Tarih Konu: ;17.10.2023 18:28;Bilinmiyor;29772bc5d490407205a7ed062198c006aabed633-1697556526297;https://185.86.155.222/playback/presentation/2.3/29772bc5d490407205a7ed062198c006aabed633-1697556526297
1579;Belirsiz / Bilinmeyen Müşteri;DİL YAPILARI VE STRATEJİLER;ID ve Kelime Eşleşmesi Bulunamadı;DİL YAPILARI VE STRATEJİLER;17.05.2025 18:47;Bilinmiyor;a7bb88795d338b5aaf53e13882b28f159d978cf6-1747496835792;https://185.86.155.222/playback/presentation/2.3/a7bb88795d338b5aaf53e13882b28f159d978cf6-1747496835792
1580;Belirsiz / Bilinmeyen Müşteri;MİLLİ EDEBİYAT DÖNEMİ-6;ID ve Kelime Eşleşmesi Bulunamadı;MİLLİ EDEBİYAT DÖNEMİ-6;14.01.2025 19:10;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1736871045287;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1736871045287
1581;Belirsiz / Bilinmeyen Müşteri;Vatandaşlık Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Vatandaşlık Konu: ;28.02.2024 18:59;Bilinmiyor;026ca7669a4b049994edee474625e10ba425622d-1709135984309;https://185.86.155.222/playback/presentation/2.3/026ca7669a4b049994edee474625e10ba425622d-1709135984309
1582;Belirsiz / Bilinmeyen Müşteri;Matematik Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Matematik Konu: ;25.12.2023 18:48;Bilinmiyor;8962d4aca62d09ee61e8251dada951432b59491a-1703519289117;https://185.86.155.222/playback/presentation/2.3/8962d4aca62d09ee61e8251dada951432b59491a-1703519289117
1583;Belirsiz / Bilinmeyen Müşteri;nazım şekilleri;ID ve Kelime Eşleşmesi Bulunamadı;nazım şekilleri;15.11.2023 20:43;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1700070200461;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1700070200461
1584;Belirsiz / Bilinmeyen Müşteri;Temel Matematik: ;ID ve Kelime Eşleşmesi Bulunamadı;Temel Matematik: ;28.01.2024 20:45;Bilinmiyor;146e92703dac0bd985788a354d7fbe7ea6ae8036-1706463912262;https://185.86.155.222/playback/presentation/2.3/146e92703dac0bd985788a354d7fbe7ea6ae8036-1706463912262
1585;Belirsiz / Bilinmeyen Müşteri;2024 Alan Eğitimi Soru Çözümü 4;ID ve Kelime Eşleşmesi Bulunamadı;2024 Alan Eğitimi Soru Çözümü 4;21.07.2024 14:56;Bilinmiyor;5013d74a5f382485df7a90de8190e09089a0975b-1721563012874;https://185.86.155.222/playback/presentation/2.3/5013d74a5f382485df7a90de8190e09089a0975b-1721563012874
1586;Belirsiz / Bilinmeyen Müşteri;Yeni Türk Edebiyatı Genel Tekrar 2 ;ID ve Kelime Eşleşmesi Bulunamadı;Yeni Türk Edebiyatı Genel Tekrar 2 ;20.07.2023 18:45;Bilinmiyor;90a7b5fa39c2a027e299b9e5fbab49a5be871e3b-1689867921127;https://185.86.155.222/playback/presentation/2.3/90a7b5fa39c2a027e299b9e5fbab49a5be871e3b-1689867921127
1587;Belirsiz / Bilinmeyen Müşteri;Yeni Türk Dili 11, Fiilde Çatı;ID ve Kelime Eşleşmesi Bulunamadı;Yeni Türk Dili 11, Fiilde Çatı;13.12.2022 20:59;Bilinmiyor;877120cc0d88c1bb4191ff6d9765c24f2cac1e8d-1670954395684;https://185.86.155.222/playback/presentation/2.3/877120cc0d88c1bb4191ff6d9765c24f2cac1e8d-1670954395684
1588;Belirsiz / Bilinmeyen Müşteri;2024 Temmuz Dil Bilimi Soru Çözümü;ID ve Kelime Eşleşmesi Bulunamadı;2024 Temmuz Dil Bilimi Soru Çözümü;23.07.2024 19:00;Bilinmiyor;65d234e2daa97cd5cff9ef2fe0d5667e3933b42b-1721750440420;https://185.86.155.222/playback/presentation/2.3/65d234e2daa97cd5cff9ef2fe0d5667e3933b42b-1721750440420
1589;Belirsiz / Bilinmeyen Müşteri;Eğitim temelleri: ;ID ve Kelime Eşleşmesi Bulunamadı;Eğitim temelleri: ;13.04.2025 17:58;Bilinmiyor;c1ca8e2c0ad0b8a325771c48dcd6dada6ef0c9fb-1744556290039;https://185.86.155.222/playback/presentation/2.3/c1ca8e2c0ad0b8a325771c48dcd6dada6ef0c9fb-1744556290039
1590;Belirsiz / Bilinmeyen Müşteri;ÖLÇME VE DEĞERLENDİRME-2;ID ve Kelime Eşleşmesi Bulunamadı;ÖLÇME VE DEĞERLENDİRME-2;22.03.2025 22:18;Bilinmiyor;a7bb88795d338b5aaf53e13882b28f159d978cf6-1742671109115;https://185.86.155.222/playback/presentation/2.3/a7bb88795d338b5aaf53e13882b28f159d978cf6-1742671109115
1591;Türkçe ÖABTdeyiz;2025 - GENEL TEKRAR;;DÖRT TEMEL BECERİ - 7;11.07.2025 18:39;45 dk;059f2ad29732c04932217af6f0290782094cecca-1752079807191;https://185.86.155.222/playback/presentation/2.3/059f2ad29732c04932217af6f0290782094cecca-1752079807191
1592;Belirsiz / Bilinmeyen Müşteri;Maarif Modeli 2;ID ve Kelime Eşleşmesi Bulunamadı;Maarif Modeli 2;14.04.2025 19:17;Bilinmiyor;fbbd5fb4cc09832fd0e0687f475b866ad33b0a51-1744647440107;https://185.86.155.222/playback/presentation/2.3/fbbd5fb4cc09832fd0e0687f475b866ad33b0a51-1744647440107
1593;Belirsiz / Bilinmeyen Müşteri;fecriati 14,;ID ve Kelime Eşleşmesi Bulunamadı;fecriati 14,;28.12.2022 20:12;Bilinmiyor;be19c05cdcfe137c608c387791b43a41c213424e-1672247572697;https://185.86.155.222/playback/presentation/2.3/be19c05cdcfe137c608c387791b43a41c213424e-1672247572697
1594;Belirsiz / Bilinmeyen Müşteri;halk şairler;ID ve Kelime Eşleşmesi Bulunamadı;halk şairler;10.03.2025 20:28;Bilinmiyor;f2cbea88fd85117b36715ad29b52afd6488b00e6-1741627689380;https://185.86.155.222/playback/presentation/2.3/f2cbea88fd85117b36715ad29b52afd6488b00e6-1741627689380
1595;Belirsiz / Bilinmeyen Müşteri;Edebiyat Konu: İslamiyet Öncesi Türk Edebiyatı;ID ve Kelime Eşleşmesi Bulunamadı;Edebiyat Konu: İslamiyet Öncesi Türk Edebiyatı;13.01.2024 14:45;Bilinmiyor;6c921c09683fc4b63f4ab94a17321a2e967c9712-1705146322183;https://185.86.155.222/playback/presentation/2.3/6c921c09683fc4b63f4ab94a17321a2e967c9712-1705146322183
